20240518-174222
Epoch 0/10 ,Loss 4.741  ,tv_loss 1.975,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.674  ,tv_loss 1.847,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.679  ,tv_loss 1.972,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.631  ,tv_loss 1.986,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.857  ,tv_loss 1.971,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.880  ,tv_loss 1.869,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.523  ,tv_loss 2.071,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.718  ,tv_loss 2.025,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.833  ,tv_loss 1.954,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.832  ,tv_loss 1.812,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.629  ,tv_loss 2.060,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.711  ,tv_loss 1.923,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.631  ,tv_loss 1.920,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.858  ,tv_loss 1.870,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.844  ,tv_loss 1.857,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.572  ,tv_loss 1.904,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.650  ,tv_loss 1.772,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.733  ,tv_loss 1.808,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.908  ,tv_loss 1.918,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.593  ,tv_loss 1.979,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.983  ,tv_loss 1.884,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.836  ,tv_loss 1.921,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.776  ,tv_loss 1.933,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.679  ,tv_loss 1.976,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.616  ,tv_loss 2.025,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.592  ,tv_loss 1.877,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.798  ,tv_loss 2.010,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.880  ,tv_loss 2.051,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.751  ,tv_loss 2.117,small_score_num 0 ,lr 0.01000 
